question,choices,pct_voters,Trump,Biden,state,q_id,abbrev,votes,lat,lon
Do you have a close friend or family member who has died from the coronavirus?,Yes,0.29,52,46,alabama,8,AL,9,32.7794,-86.8287
Do you have a close friend or family member who has died from the coronavirus?,No,0.71,65,33,alabama,8,AL,9,32.7794,-86.8287
Do you think the condition of the nation’s economy is:,Excellent or good,0.55,88,10,alabama,9,AL,9,32.7794,-86.8287
Do you think the condition of the nation’s economy is:,Not so good or poor,0.45,29,69,alabama,9,AL,9,32.7794,-86.8287
Do you think the coronavirus in the United States is:,At least somewhat under control,0.6,87,12,alabama,10,AL,9,32.7794,-86.8287
Do you think the coronavirus in the United States is:,Not at all under control,0.4,24,74,alabama,10,AL,9,32.7794,-86.8287
How serious a problem is racism in U.S. society?,Very or somewhat serious,0.7,48,50,alabama,11,AL,9,32.7794,-86.8287
How serious a problem is racism in U.S. society?,Not too or not at all serious,0.3,94,5,alabama,11,AL,9,32.7794,-86.8287
How serious a problem is racism in policing?,Very or somewhat serious,0.62,44,54,alabama,12,AL,9,32.7794,-86.8287
How serious a problem is racism in policing?,Not too or not at all serious,0.35,94,5,alabama,12,AL,9,32.7794,-86.8287
"Thinking about the criminal justice system in the United States, would you say it:",Needs a complete overhaul or major changes,0.63,47,52,alabama,13,AL,9,32.7794,-86.8287
"Thinking about the criminal justice system in the United States, would you say it:",Needs minor changes or no changes,0.37,82,16,alabama,13,AL,9,32.7794,-86.8287
"In general, how concerned are you about the effects of climate change?",Very or somewhat concerned,0.62,46,53,alabama,14,AL,9,32.7794,-86.8287
"In general, how concerned are you about the effects of climate change?",Not too or not at all concerned,0.38,93,4,alabama,14,AL,9,32.7794,-86.8287
Should gun laws in the U.S. be made:,More strict,0.41,29,69,alabama,15,AL,9,32.7794,-86.8287
Should gun laws in the U.S. be made:,Less strict,0.15,,,alabama,15,AL,9,32.7794,-86.8287
Should gun laws in the U.S. be made:,Kept as they are,0.44,91,7,alabama,15,AL,9,32.7794,-86.8287
How old are you? And what is your gender?,18-29 men,0.06,,,alabama,16,AL,9,32.7794,-86.8287
How old are you? And what is your gender?,18-29 women,0.06,51,45,alabama,16,AL,9,32.7794,-86.8287
How old are you? And what is your gender?,30-44 men,0.1,66,32,alabama,16,AL,9,32.7794,-86.8287
How old are you? And what is your gender?,30-44 women,0.11,50,47,alabama,16,AL,9,32.7794,-86.8287
How old are you? And what is your gender?,45-64 men,0.18,65,33,alabama,16,AL,9,32.7794,-86.8287
How old are you? And what is your gender?,45-64 women,0.2,60,39,alabama,16,AL,9,32.7794,-86.8287
How old are you? And what is your gender?,65+ men,0.13,74,25,alabama,16,AL,9,32.7794,-86.8287
How old are you? And what is your gender?,65+ women,0.16,66,34,alabama,16,AL,9,32.7794,-86.8287
How old are you? And what is your gender?,All others,0.01,,,alabama,16,AL,9,32.7794,-86.8287
What is your racial or ethnic heritage?,White,0.75,78,20,alabama,17,AL,9,32.7794,-86.8287
What is your racial or ethnic heritage?,African-American or Black,0.22,8,91,alabama,17,AL,9,32.7794,-86.8287
What is your racial or ethnic heritage?,Latino or Hispanic,0.01,,,alabama,17,AL,9,32.7794,-86.8287
What is your racial or ethnic heritage?,Other,0.02,68,27,alabama,17,AL,9,32.7794,-86.8287
What is your racial or ethnic heritage?,White,0.75,78,20,alabama,18,AL,9,32.7794,-86.8287
What is your racial or ethnic heritage?,Nonwhite,0.25,15,83,alabama,18,AL,9,32.7794,-86.8287
What is your racial or ethnic heritage? And what is your gender?,White men,0.37,78,20,alabama,19,AL,9,32.7794,-86.8287
What is your racial or ethnic heritage? And what is your gender?,White women,0.38,78,20,alabama,19,AL,9,32.7794,-86.8287
What is your racial or ethnic heritage? And what is your gender?,Nonwhite men,0.1,23,75,alabama,19,AL,9,32.7794,-86.8287
What is your racial or ethnic heritage? And what is your gender?,Nonwhite women,0.15,10,89,alabama,19,AL,9,32.7794,-86.8287
What is your racial or ethnic heritage? And what is your gender?,All others,0.01,,,alabama,19,AL,9,32.7794,-86.8287
What is your racial or ethnic heritage? And how old are you?,White 18-44,0.23,74,23,alabama,20,AL,9,32.7794,-86.8287
What is your racial or ethnic heritage? And how old are you?,White 45+,0.51,80,19,alabama,20,AL,9,32.7794,-86.8287
What is your racial or ethnic heritage? And how old are you?,Nonwhite 18-44,0.1,12,85,alabama,20,AL,9,32.7794,-86.8287
What is your racial or ethnic heritage? And how old are you?,Nonwhite 45+,0.15,17,82,alabama,20,AL,9,32.7794,-86.8287
Would you describe yourself as a white evangelical or white born-again Christian?,White evangelical/white born-again Christians,0.53,88,12,alabama,5,AL,9,32.7794,-86.8287
Would you describe yourself as a white evangelical or white born-again Christian?,All others,0.47,46,52,alabama,5,AL,9,32.7794,-86.8287
"How often, if at all, do you attend religious services?",At least monthly,0.5,62,37,alabama,21,AL,9,32.7794,-86.8287
"How often, if at all, do you attend religious services?",Less often,0.5,58,41,alabama,21,AL,9,32.7794,-86.8287
Marital Status,Married,0.52,68,31,alabama,22,AL,9,32.7794,-86.8287
Marital Status,Not married,0.48,52,48,alabama,22,AL,9,32.7794,-86.8287
Are you married? What is your gender?,Married men,0.32,70,28,alabama,23,AL,9,32.7794,-86.8287
Are you married? What is your gender?,Married women,0.21,66,34,alabama,23,AL,9,32.7794,-86.8287
Are you married? What is your gender?,Not married men,0.15,,,alabama,23,AL,9,32.7794,-86.8287
Are you married? What is your gender?,Not married women,0.32,51,48,alabama,23,AL,9,32.7794,-86.8287
What is your gender and level of education?,Noncollege graduate men,0.3,69,30,alabama,24,AL,9,32.7794,-86.8287
What is your gender and level of education?,College graduate men,0.16,62,35,alabama,24,AL,9,32.7794,-86.8287
What is your gender and level of education?,Noncollege graduate women,0.38,62,37,alabama,24,AL,9,32.7794,-86.8287
What is your gender and level of education?,College graduate women,0.15,50,48,alabama,24,AL,9,32.7794,-86.8287
What is your gender and level of education?,All others,0.01,,,alabama,24,AL,9,32.7794,-86.8287
What is your racial or ethnic heritage and level of education?,White noncollege,0.5,84,15,alabama,25,AL,9,32.7794,-86.8287
What is your racial or ethnic heritage and level of education?,White college,0.25,66,31,alabama,25,AL,9,32.7794,-86.8287
What is your racial or ethnic heritage and level of education?,Nonwhite noncollege,0.19,15,83,alabama,25,AL,9,32.7794,-86.8287
What is your racial or ethnic heritage and level of education?,Nonwhite college,0.06,14,83,alabama,25,AL,9,32.7794,-86.8287
What is your age and education level?,Noncollege 18-44,0.25,55,43,alabama,26,AL,9,32.7794,-86.8287
What is your age and education level?,College 18-44,0.09,56,40,alabama,26,AL,9,32.7794,-86.8287
What is your age and education level?,College 45+,0.44,70,30,alabama,26,AL,9,32.7794,-86.8287
What is your age and education level?,Noncollege 45+,0.22,56,42,alabama,26,AL,9,32.7794,-86.8287
Which of the following best describes the area where you live?,Urban,0.13,40,59,alabama,27,AL,9,32.7794,-86.8287
Which of the following best describes the area where you live?,Suburban,0.32,55,42,alabama,27,AL,9,32.7794,-86.8287
Which of the following best describes the area where you live?,Small town or rural,0.56,71,28,alabama,27,AL,9,32.7794,-86.8287
What is your gender? And the size of the place where you live?,Urban men,0.07,51,48,alabama,28,AL,9,32.7794,-86.8287
What is your gender? And the size of the place where you live?,Suburban men,0.15,58,39,alabama,28,AL,9,32.7794,-86.8287
What is your gender? And the size of the place where you live?,Small town/Rural men,0.24,76,23,alabama,28,AL,9,32.7794,-86.8287
What is your gender? And the size of the place where you live?,Urban women,0.06,29,70,alabama,28,AL,9,32.7794,-86.8287
What is your gender? And the size of the place where you live?,Suburban women,0.16,53,46,alabama,28,AL,9,32.7794,-86.8287
What is your gender? And the size of the place where you live?,Small town or rural women,0.31,68,31,alabama,28,AL,9,32.7794,-86.8287
What is your gender? And the size of the place where you live?,All others,0.01,,,alabama,28,AL,9,32.7794,-86.8287
What is your racial or ethnic heritage? And the size of the place where you live?,White urban,0.07,65,33,alabama,29,AL,9,32.7794,-86.8287
What is your racial or ethnic heritage? And the size of the place where you live?,White suburban,0.24,70,27,alabama,29,AL,9,32.7794,-86.8287
What is your racial or ethnic heritage? And the size of the place where you live?,White small town or rural,0.44,84,15,alabama,29,AL,9,32.7794,-86.8287
What is your racial or ethnic heritage? And the size of the place where you live?,Nonwhite urban,0.06,13,87,alabama,29,AL,9,32.7794,-86.8287
What is your racial or ethnic heritage? And the size of the place where you live?,Nonwhite suburban,0.08,8,90,alabama,29,AL,9,32.7794,-86.8287
What is your racial or ethnic heritage? And the size of the place where you live?,Nonwhite small town or rural,0.12,21,77,alabama,29,AL,9,32.7794,-86.8287
What describes the area where you live? And what is your level of education?,Urban college,0.05,40,59,alabama,30,AL,9,32.7794,-86.8287
What describes the area where you live? And what is your level of education?,Suburban college,0.14,49,46,alabama,30,AL,9,32.7794,-86.8287
What describes the area where you live? And what is your level of education?,Small town or rural college,0.12,70,28,alabama,30,AL,9,32.7794,-86.8287
What describes the area where you live? And what is your level of education?,Urban noncollege,0.08,40,58,alabama,30,AL,9,32.7794,-86.8287
What describes the area where you live? And what is your level of education?,Suburban noncollege,0.17,60,39,alabama,30,AL,9,32.7794,-86.8287
What describes the area where you live? And what is your level of education?,Small town or rural noncollege,0.43,71,28,alabama,30,AL,9,32.7794,-86.8287
"Do you or does any other member of your household own a handgun, rifle, shotgun, or any other kind of firearm?",Gun in household,0.63,71,28,alabama,31,AL,9,32.7794,-86.8287
"Do you or does any other member of your household own a handgun, rifle, shotgun, or any other kind of firearm?",No gun in household,0.37,51,47,alabama,31,AL,9,32.7794,-86.8287
"Have you, or has any member of your household, ever served in the U.S. military?",Veteran household,0.32,69,30,alabama,32,AL,9,32.7794,-86.8287
"Have you, or has any member of your household, ever served in the U.S. military?",Nonveteran household,0.68,62,36,alabama,32,AL,9,32.7794,-86.8287
Which best describes your family's financial situation? Are you...,Getting ahead,0.14,,,alabama,33,AL,9,32.7794,-86.8287
Which best describes your family's financial situation? Are you...,Holding steady,0.67,64,35,alabama,33,AL,9,32.7794,-86.8287
Which best describes your family's financial situation? Are you...,Falling behind,0.19,,,alabama,33,AL,9,32.7794,-86.8287
How serious a problem is racism in U.S. society?,Very serious,0.41,30,68,alabama,11,AL,9,32.7794,-86.8287
How serious a problem is racism in U.S. society?,Less serious,0.59,84,14,alabama,11,AL,9,32.7794,-86.8287
How serious a problem is racism in policing?,Very serious,0.37,24,74,alabama,12,AL,9,32.7794,-86.8287
How serious a problem is racism in policing?,Less serious,0.6,85,13,alabama,12,AL,9,32.7794,-86.8287
"In general, would you say police in this country are too tough, not tough enough or about right in handling of crime?",Too tough,0.28,19,80,alabama,34,AL,9,32.7794,-86.8287
"In general, would you say police in this country are too tough, not tough enough or about right in handling of crime?",Not tough enough,0.33,82,18,alabama,34,AL,9,32.7794,-86.8287
"In general, would you say police in this country are too tough, not tough enough or about right in handling of crime?",About right,0.39,71,27,alabama,34,AL,9,32.7794,-86.8287
Which best describes your feelings about the way the federal government is working?,Enthusiastic or satisfied,0.37,88,11,alabama,35,AL,9,32.7794,-86.8287
Which best describes your feelings about the way the federal government is working?,Dissatisfied or angry,0.63,45,52,alabama,35,AL,9,32.7794,-86.8287
"Do you describe yourself as a man, a woman, or in some other way?",Men,0.53,60,36,alaska,1,AK,3,64.0685,-152.2782
"Do you describe yourself as a man, a woman, or in some other way?",Women,0.47,45,52,alaska,1,AK,3,64.0685,-152.2782
"Do you describe yourself as a man, a woman, or in some other way?",Some other way,0.01,,,alaska,1,AK,3,64.0685,-152.2782
What is your age?,18-29,0.15,,,alaska,2,AK,3,64.0685,-152.2782
What is your age?,30-44,0.27,56,41,alaska,2,AK,3,64.0685,-152.2782
What is your age?,45-64,0.38,57,39,alaska,2,AK,3,64.0685,-152.2782
What is your age?,65+,0.2,52,48,alaska,2,AK,3,64.0685,-152.2782
Which best describes your level of education?,High school or less,0.24,,,alaska,3,AK,3,64.0685,-152.2782
Which best describes your level of education?,"Some college, or associate degree",0.4,58,37,alaska,3,AK,3,64.0685,-152.2782
Which best describes your level of education?,College graduate,0.23,44,48,alaska,3,AK,3,64.0685,-152.2782
Which best describes your level of education?,Postgraduate study,0.13,43,55,alaska,3,AK,3,64.0685,-152.2782
"What is your present religion, if any?",Protestant,0.2,68,27,alaska,4,AK,3,64.0685,-152.2782
"What is your present religion, if any?",Catholic,0.12,,,alaska,4,AK,3,64.0685,-152.2782
"What is your present religion, if any?",Mormon,0.04,,,alaska,4,AK,3,64.0685,-152.2782
"What is your present religion, if any?",Other Christian,0.23,84,16,alaska,4,AK,3,64.0685,-152.2782
"What is your present religion, if any?",Jewish,0,,,alaska,4,AK,3,64.0685,-152.2782
"What is your present religion, if any?",Muslim,0,,,alaska,4,AK,3,64.0685,-152.2782
"What is your present religion, if any?",Something else,0.12,,,alaska,4,AK,3,64.0685,-152.2782
"What is your present religion, if any?",None,0.29,24,74,alaska,4,AK,3,64.0685,-152.2782
What was your total household income in 2019?,"Under $25,000",0.08,,,alaska,6,AK,3,64.0685,-152.2782
What was your total household income in 2019?,"$25,000-$49,999",0.16,,,alaska,6,AK,3,64.0685,-152.2782
What was your total household income in 2019?,"$50,000-$74,999",0.22,52,46,alaska,6,AK,3,64.0685,-152.2782
What was your total household income in 2019?,"$75,000-$99,999",0.18,51,40,alaska,6,AK,3,64.0685,-152.2782
What was your total household income in 2019?,"$100,000 or more",0.37,60,38,alaska,6,AK,3,64.0685,-152.2782
When did you vote?,Election Day,0.37,72,22,alaska,7,AK,3,64.0685,-152.2782
When did you vote?,Early or absentee,0.63,42,55,alaska,7,AK,3,64.0685,-152.2782
Do you have a close friend or family member who has died from the coronavirus?,Yes,0.04,,,alaska,8,AK,3,64.0685,-152.2782
Do you have a close friend or family member who has died from the coronavirus?,No,0.96,56,42,alaska,8,AK,3,64.0685,-152.2782
Do you think the condition of the nation’s economy is:,Excellent or good,0.46,83,14,alaska,9,AK,3,64.0685,-152.2782
Do you think the condition of the nation’s economy is:,Not so good or poor,0.52,26,69,alaska,9,AK,3,64.0685,-152.2782
Do you think the coronavirus in the United States is:,At least somewhat under control,0.51,87,11,alaska,10,AK,3,64.0685,-152.2782
Do you think the coronavirus in the United States is:,Not at all under control,0.46,13,81,alaska,10,AK,3,64.0685,-152.2782
How serious a problem is racism in U.S. society?,Very or somewhat serious,0.7,35,60,alaska,11,AK,3,64.0685,-152.2782
How serious a problem is racism in U.S. society?,Not too or not at all serious,0.29,95,3,alaska,11,AK,3,64.0685,-152.2782
How serious a problem is racism in policing?,Very or somewhat serious,0.63,33,62,alaska,12,AK,3,64.0685,-152.2782
How serious a problem is racism in policing?,Not too or not at all serious,0.33,90,7,alaska,12,AK,3,64.0685,-152.2782
"Thinking about the criminal justice system in the United States, would you say it:",Needs a complete overhaul or major changes,0.57,34,61,alaska,13,AK,3,64.0685,-152.2782
"Thinking about the criminal justice system in the United States, would you say it:",Needs minor changes or no changes,0.43,,,alaska,13,AK,3,64.0685,-152.2782
"In general, how concerned are you about the effects of climate change?",Very or somewhat concerned,0.59,22,71,alaska,14,AK,3,64.0685,-152.2782
"In general, how concerned are you about the effects of climate change?",Not too or not at all concerned,0.4,,,alaska,14,AK,3,64.0685,-152.2782
Should gun laws in the U.S. be made:,More strict,0.41,6,93,alaska,15,AK,3,64.0685,-152.2782
Should gun laws in the U.S. be made:,Less strict,0.19,,,alaska,15,AK,3,64.0685,-152.2782
Should gun laws in the U.S. be made:,Kept as they are,0.4,,,alaska,15,AK,3,64.0685,-152.2782
How old are you? And what is your gender?,18-29 men,0.08,,,alaska,16,AK,3,64.0685,-152.2782
How old are you? And what is your gender?,18-29 women,0.06,,,alaska,16,AK,3,64.0685,-152.2782
How old are you? And what is your gender?,30-44 men,0.14,,,alaska,16,AK,3,64.0685,-152.2782
How old are you? And what is your gender?,30-44 women,0.14,,,alaska,16,AK,3,64.0685,-152.2782
How old are you? And what is your gender?,45-64 men,0.2,63,32,alaska,16,AK,3,64.0685,-152.2782
How old are you? And what is your gender?,45-64 women,0.18,48,47,alaska,16,AK,3,64.0685,-152.2782
How old are you? And what is your gender?,65+ men,0.1,55,44,alaska,16,AK,3,64.0685,-152.2782
How old are you? And what is your gender?,65+ women,0.09,,,alaska,16,AK,3,64.0685,-152.2782
How old are you? And what is your gender?,All others,0.01,,,alaska,16,AK,3,64.0685,-152.2782
What is your racial or ethnic heritage?,White,0.72,53,44,alaska,17,AK,3,64.0685,-152.2782
What is your racial or ethnic heritage?,African-American or Black,0.03,,,alaska,17,AK,3,64.0685,-152.2782
What is your racial or ethnic heritage?,Latino or Hispanic,0.05,,,alaska,17,AK,3,64.0685,-152.2782
What is your racial or ethnic heritage?,Other,0.2,49,46,alaska,17,AK,3,64.0685,-152.2782
What is your racial or ethnic heritage?,White,0.72,53,44,alaska,18,AK,3,64.0685,-152.2782
What is your racial or ethnic heritage?,Nonwhite,0.28,52,44,alaska,18,AK,3,64.0685,-152.2782
What is your racial or ethnic heritage? And what is your gender?,White men,0.37,61,36,alaska,19,AK,3,64.0685,-152.2782
What is your racial or ethnic heritage? And what is your gender?,White women,0.35,44,53,alaska,19,AK,3,64.0685,-152.2782
What is your racial or ethnic heritage? And what is your gender?,Nonwhite men,0.15,,,alaska,19,AK,3,64.0685,-152.2782
What is your racial or ethnic heritage? And what is your gender?,Nonwhite women,0.13,,,alaska,19,AK,3,64.0685,-152.2782
What is your racial or ethnic heritage? And what is your gender?,All others,0.01,,,alaska,19,AK,3,64.0685,-152.2782
What is your racial or ethnic heritage? And how old are you?,White 18-44,0.29,52,44,alaska,20,AK,3,64.0685,-152.2782
What is your racial or ethnic heritage? And how old are you?,White 45+,0.44,54,44,alaska,20,AK,3,64.0685,-152.2782
What is your racial or ethnic heritage? And how old are you?,Nonwhite 18-44,0.14,,,alaska,20,AK,3,64.0685,-152.2782
What is your racial or ethnic heritage? And how old are you?,Nonwhite 45+,0.14,,,alaska,20,AK,3,64.0685,-152.2782
Would you describe yourself as a white evangelical or white born-again Christian?,White evangelical/white born-again Christians,0.16,,,alaska,5,AK,3,64.0685,-152.2782
Would you describe yourself as a white evangelical or white born-again Christian?,All others,0.84,46,49,alaska,5,AK,3,64.0685,-152.2782
"How often, if at all, do you attend religious services?",At least monthly,0.29,,,alaska,21,AK,3,64.0685,-152.2782
"How often, if at all, do you attend religious services?",Less often,0.71,49,47,alaska,21,AK,3,64.0685,-152.2782
Marital Status,Married,0.59,,,alaska,22,AK,3,64.0685,-152.2782
Marital Status,Not married,0.41,,,alaska,22,AK,3,64.0685,-152.2782
Are you married? What is your gender?,Married men,0.2,,,alaska,23,AK,3,64.0685,-152.2782
Are you married? What is your gender?,Married women,0.41,,,alaska,23,AK,3,64.0685,-152.2782
Are you married? What is your gender?,Not married men,0.2,,,alaska,23,AK,3,64.0685,-152.2782
Are you married? What is your gender?,Not married women,0.19,,,alaska,23,AK,3,64.0685,-152.2782
What is your gender and level of education?,Noncollege graduate men,0.34,65,32,alaska,24,AK,3,64.0685,-152.2782
What is your gender and level of education?,College graduate men,0.19,51,42,alaska,24,AK,3,64.0685,-152.2782
What is your gender and level of education?,Noncollege graduate women,0.3,52,46,alaska,24,AK,3,64.0685,-152.2782
What is your gender and level of education?,College graduate women,0.17,33,62,alaska,24,AK,3,64.0685,-152.2782
What is your gender and level of education?,All others,0.01,,,alaska,24,AK,3,64.0685,-152.2782
What is your racial or ethnic heritage and level of education?,White noncollege,0.43,62,36,alaska,25,AK,3,64.0685,-152.2782
What is your racial or ethnic heritage and level of education?,White college,0.29,40,55,alaska,25,AK,3,64.0685,-152.2782
What is your racial or ethnic heritage and level of education?,Nonwhite noncollege,0.22,,,alaska,25,AK,3,64.0685,-152.2782
What is your racial or ethnic heritage and level of education?,Nonwhite college,0.06,,,alaska,25,AK,3,64.0685,-152.2782
What is your age and education level?,Noncollege 18-44,0.26,,,alaska,26,AK,3,64.0685,-152.2782
What is your age and education level?,College 18-44,0.15,48,49,alaska,26,AK,3,64.0685,-152.2782
What is your age and education level?,College 45+,0.37,63,36,alaska,26,AK,3,64.0685,-152.2782
What is your age and education level?,Noncollege 45+,0.21,40,52,alaska,26,AK,3,64.0685,-152.2782
Which of the following best describes the area where you live?,Urban,0.21,47,51,alaska,27,AK,3,64.0685,-152.2782
Which of the following best describes the area where you live?,Suburban,0.3,59,35,alaska,27,AK,3,64.0685,-152.2782
Which of the following best describes the area where you live?,Small town or rural,0.49,52,45,alaska,27,AK,3,64.0685,-152.2782
What is your gender? And the size of the place where you live?,Urban men,0.11,,,alaska,28,AK,3,64.0685,-152.2782
What is your gender? And the size of the place where you live?,Suburban men,0.17,62,29,alaska,28,AK,3,64.0685,-152.2782
What is your gender? And the size of the place where you live?,Small town/Rural men,0.24,55,43,alaska,28,AK,3,64.0685,-152.2782
What is your gender? And the size of the place where you live?,Urban women,0.1,,,alaska,28,AK,3,64.0685,-152.2782
What is your gender? And the size of the place where you live?,Suburban women,0.12,,,alaska,28,AK,3,64.0685,-152.2782
What is your gender? And the size of the place where you live?,Small town or rural women,0.25,48,48,alaska,28,AK,3,64.0685,-152.2782
What is your gender? And the size of the place where you live?,All others,0.01,,,alaska,28,AK,3,64.0685,-152.2782
What is your racial or ethnic heritage? And the size of the place where you live?,White urban,0.14,46,52,alaska,29,AK,3,64.0685,-152.2782
What is your racial or ethnic heritage? And the size of the place where you live?,White suburban,0.21,57,37,alaska,29,AK,3,64.0685,-152.2782
What is your racial or ethnic heritage? And the size of the place where you live?,White small town or rural,0.37,52,46,alaska,29,AK,3,64.0685,-152.2782
What is your racial or ethnic heritage? And the size of the place where you live?,Nonwhite urban,0.06,,,alaska,29,AK,3,64.0685,-152.2782
What is your racial or ethnic heritage? And the size of the place where you live?,Nonwhite suburban,0.09,,,alaska,29,AK,3,64.0685,-152.2782
What is your racial or ethnic heritage? And the size of the place where you live?,Nonwhite small town or rural,0.12,,,alaska,29,AK,3,64.0685,-152.2782
What describes the area where you live? And what is your level of education?,Urban college,0.09,48,48,alaska,30,AK,3,64.0685,-152.2782
What describes the area where you live? And what is your level of education?,Suburban college,0.11,40,51,alaska,30,AK,3,64.0685,-152.2782
What describes the area where you live? And what is your level of education?,Small town or rural college,0.17,44,52,alaska,30,AK,3,64.0685,-152.2782
What describes the area where you live? And what is your level of education?,Urban noncollege,0.12,,,alaska,30,AK,3,64.0685,-152.2782
What describes the area where you live? And what is your level of education?,Suburban noncollege,0.19,,,alaska,30,AK,3,64.0685,-152.2782
What describes the area where you live? And what is your level of education?,Small town or rural noncollege,0.32,56,41,alaska,30,AK,3,64.0685,-152.2782
"Do you or does any other member of your household own a handgun, rifle, shotgun, or any other kind of firearm?",Gun in household,0.71,52,39,alaska,31,AK,3,64.0685,-152.2782
"Do you or does any other member of your household own a handgun, rifle, shotgun, or any other kind of firearm?",No gun in household,0.29,,,alaska,31,AK,3,64.0685,-152.2782
"Have you, or has any member of your household, ever served in the U.S. military?",Veteran household,0.52,,,alaska,32,AK,3,64.0685,-152.2782
"Have you, or has any member of your household, ever served in the U.S. military?",Nonveteran household,0.48,47,45,alaska,32,AK,3,64.0685,-152.2782
Which best describes your family's financial situation? Are you...,Getting ahead,0.26,,,alaska,33,AK,3,64.0685,-152.2782
Which best describes your family's financial situation? Are you...,Holding steady,0.66,54,44,alaska,33,AK,3,64.0685,-152.2782
Which best describes your family's financial situation? Are you...,Falling behind,0.09,,,alaska,33,AK,3,64.0685,-152.2782
How serious a problem is racism in U.S. society?,Very serious,0.38,12,85,alaska,11,AK,3,64.0685,-152.2782
How serious a problem is racism in U.S. society?,Less serious,0.61,78,18,alaska,11,AK,3,64.0685,-152.2782
How serious a problem is racism in policing?,Very serious,0.35,9,87,alaska,12,AK,3,64.0685,-152.2782
How serious a problem is racism in policing?,Less serious,0.61,78,18,alaska,12,AK,3,64.0685,-152.2782
"In general, would you say police in this country are too tough, not tough enough or about right in handling of crime?",Too tough,0.2,,,alaska,34,AK,3,64.0685,-152.2782
"In general, would you say police in this country are too tough, not tough enough or about right in handling of crime?",Not tough enough,0.16,,,alaska,34,AK,3,64.0685,-152.2782
"In general, would you say police in this country are too tough, not tough enough or about right in handling of crime?",About right,0.6,,,alaska,34,AK,3,64.0685,-152.2782
Which best describes your feelings about the way the federal government is working?,Enthusiastic or satisfied,0.25,,,alaska,35,AK,3,64.0685,-152.2782
Which best describes your feelings about the way the federal government is working?,Dissatisfied or angry,0.75,44,54,alaska,35,AK,3,64.0685,-152.2782
"Do you describe yourself as a man, a woman, or in some other way?",Men,0.48,52,46,arizona,1,AZ,11,34.2744,-111.6602
"Do you describe yourself as a man, a woman, or in some other way?",Women,0.52,47,52,arizona,1,AZ,11,34.2744,-111.6602
"Do you describe yourself as a man, a woman, or in some other way?",Some other way,0,,,arizona,1,AZ,11,34.2744,-111.6602
What is your age?,18-29,0.14,37,59,arizona,2,AZ,11,34.2744,-111.6602
What is your age?,30-44,0.22,44,53,arizona,2,AZ,11,34.2744,-111.6602
What is your age?,45-64,0.34,53,46,arizona,2,AZ,11,34.2744,-111.6602
What is your age?,65+,0.3,53,46,arizona,2,AZ,11,34.2744,-111.6602
Which best describes your level of education?,High school or less,0.24,50,49,arizona,3,AZ,11,34.2744,-111.6602
Which best describes your level of education?,"Some college, or associate degree",0.41,51,47,arizona,3,AZ,11,34.2744,-111.6602
