q_id,question,choices,pct_voters,Trump,Biden,state
50,Do you have a favorable or unfavorable opinion of Kamala Harris?,Unfavorable,0.6,90,8,alabama
50,Do you have a favorable or unfavorable opinion of Kamala Harris?,Do not know enough to say,0.08,,,alabama
51,Would you say Joe Biden is a strong leader?,Yes,0.36,8,91,alabama
51,Would you say Joe Biden is a strong leader?,No,0.64,94,5,alabama
52,Would you say Donald Trump is a strong leader?,Yes,0.67,93,6,alabama
52,Would you say Donald Trump is a strong leader?,No,0.33,,97,alabama
53,Would you say Joe Biden is honest and trustworthy?,Yes,0.37,11,88,alabama
53,Would you say Joe Biden is honest and trustworthy?,No,0.62,95,4,alabama
54,Would you say Donald Trump is honest and trustworthy?,Yes,0.59,98,2,alabama
54,Would you say Donald Trump is honest and trustworthy?,No,0.4,11,85,alabama
55,Would you say Joe Biden cares about people like you?,Yes,0.39,14,84,alabama
55,Would you say Joe Biden cares about people like you?,No,0.59,96,2,alabama
56,Would you say Donald Trump cares about people like you?,Yes,0.6,97,2,alabama
56,Would you say Donald Trump cares about people like you?,No,0.39,9,89,alabama
57,Would you say Joe Biden has the mental capability to serve effectively as president?,Yes,0.37,9,90,alabama
57,Would you say Joe Biden has the mental capability to serve effectively as president?,No,0.62,96,3,alabama
58,Would you say Donald Trump has the mental capability to serve effectively as president?,Yes,0.64,95,4,alabama
58,Would you say Donald Trump has the mental capability to serve effectively as president?,No,0.35,2,96,alabama
59,Would you say Joe Biden is healthy enough to serve effectively as president?,Yes,0.39,12,86,alabama
59,Would you say Joe Biden is healthy enough to serve effectively as president?,No,0.59,96,3,alabama
60,Would you say Donald Trump is healthy enough to serve effectively as president?,Yes,0.7,86,12,alabama
60,Would you say Donald Trump is healthy enough to serve effectively as president?,No,0.28,1,97,alabama
61,Would you say Joe Biden stands up for what he believes in?,Yes,0.51,30,68,alabama
61,Would you say Joe Biden stands up for what he believes in?,No,0.49,98,2,alabama
62,Would you say Donald Trump stands up for what he believes in?,Yes,0.77,80,19,alabama
62,Would you say Donald Trump stands up for what he believes in?,No,0.22,5,93,alabama
63,Would you describe your vote for president mainly as for your candidate or against his opponent?,For your candidate,0.79,71,29,alabama
63,Would you describe your vote for president mainly as for your candidate or against his opponent?,Against his opponent,0.2,34,62,alabama
64,How important is it to you for the next president to bring the country together?,Very or somewhat important,0.96,62,37,alabama
64,How important is it to you for the next president to bring the country together?,Not too or not at all important,0.04,,,alabama
65,How important is it to you for the next president to shake up the political system?,Very or somewhat important,0.79,66,32,alabama
65,How important is it to you for the next president to shake up the political system?,Not too or not at all important,0.19,45,53,alabama
66,How important is it to you for the next president to look out for people like you?,Very or somewhat important,0.89,61,37,alabama
66,How important is it to you for the next president to look out for people like you?,Not too or not at all important,0.1,,,alabama
67,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle the economy?",Joe Biden,0.31,2,97,alabama
67,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle the economy?",Donald Trump,0.61,94,6,alabama
67,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle the economy?",Both equally,0.02,,,alabama
67,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle the economy?",Neither,0.02,,,alabama
68,"Regardless of whom you support, would you say Joe Biden or Donald Trump is better able to handle the coronavirus pandemic?",Joe Biden,0.33,1,99,alabama
68,"Regardless of whom you support, would you say Joe Biden or Donald Trump is better able to handle the coronavirus pandemic?",Donald Trump,0.55,96,3,alabama
68,"Regardless of whom you support, would you say Joe Biden or Donald Trump is better able to handle the coronavirus pandemic?",Both equally,0.03,,,alabama
68,"Regardless of whom you support, would you say Joe Biden or Donald Trump is better able to handle the coronavirus pandemic?",Neither,0.06,,,alabama
69,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle policing and criminal justice?",Joe Biden,0.35,2,97,alabama
69,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle policing and criminal justice?",Donald Trump,0.55,99,1,alabama
69,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle policing and criminal justice?",Both equally,0.01,,,alabama
69,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle policing and criminal justice?",Neither,0.06,,,alabama
70,Do you approve or disapprove of the way Donald Trump has handled the coronavirus pandemic?,Approve,0.61,95,3,alabama
70,Do you approve or disapprove of the way Donald Trump has handled the coronavirus pandemic?,Disapprove,0.39,10,88,alabama
71,"Do you approve or disapprove of the way Dr. Anthony Fauci, the director of the National Institute of Allergy and Infectious Diseases, has handled the coronavirus pandemic?",Approve,0.67,51,48,alabama
71,"Do you approve or disapprove of the way Dr. Anthony Fauci, the director of the National Institute of Allergy and Infectious Diseases, has handled the coronavirus pandemic?",Disapprove,0.31,87,12,alabama
72,Do you have a favorable or unfavorable opinion of Joe Biden?,Very favorable,0.23,,,alabama
72,Do you have a favorable or unfavorable opinion of Joe Biden?,Somewhat favorable,0.1,,,alabama
72,Do you have a favorable or unfavorable opinion of Joe Biden?,Somewhat unfavorable,0.14,,,alabama
72,Do you have a favorable or unfavorable opinion of Joe Biden?,Very unfavorable,0.52,97,2,alabama
72,Do you have a favorable or unfavorable opinion of Joe Biden?,Do not know enough to say,0.01,,,alabama
73,Do you have a favorable or unfavorable opinion of Donald Trump?,Very favorable,0.51,97,3,alabama
73,Do you have a favorable or unfavorable opinion of Donald Trump?,Somewhat favorable,0.13,,,alabama
73,Do you have a favorable or unfavorable opinion of Donald Trump?,Somewhat unfavorable,0.04,,,alabama
73,Do you have a favorable or unfavorable opinion of Donald Trump?,Very unfavorable,0.31,1,97,alabama
73,Do you have a favorable or unfavorable opinion of Donald Trump?,Do not know enough to say,0.02,,,alabama
74,Do you have a favorable or unfavorable opinion of Donald Trump? And Joe Biden?,Favorable view of Trump and Biden,0.05,,,alabama
74,Do you have a favorable or unfavorable opinion of Donald Trump? And Joe Biden?,"Favorable view of Trump, unfavorable view of Biden",0.6,99,1,alabama
74,Do you have a favorable or unfavorable opinion of Donald Trump? And Joe Biden?,"Favorable view of Biden, unfavorable view of Trump",0.28,1,98,alabama
74,Do you have a favorable or unfavorable opinion of Donald Trump? And Joe Biden?,Unfavorable view of Trump and Biden,0.06,,,alabama
75,Do you have a favorable or unfavorable opinion of Kamala Harris?,Very favorable,0.22,10,90,alabama
75,Do you have a favorable or unfavorable opinion of Kamala Harris?,Somewhat favorable,0.1,,,alabama
75,Do you have a favorable or unfavorable opinion of Kamala Harris?,Somewhat unfavorable,0.08,,,alabama
75,Do you have a favorable or unfavorable opinion of Kamala Harris?,Very unfavorable,0.52,95,3,alabama
75,Do you have a favorable or unfavorable opinion of Kamala Harris?,Do not know enough to say,0.08,,,alabama
76,Do you have a favorable or unfavorable opinion of Mike Pence?,Very favorable,0.47,96,2,alabama
76,Do you have a favorable or unfavorable opinion of Mike Pence?,Somewhat favorable,0.15,,,alabama
76,Do you have a favorable or unfavorable opinion of Mike Pence?,Somewhat unfavorable,0.08,,,alabama
76,Do you have a favorable or unfavorable opinion of Mike Pence?,Very unfavorable,0.24,5,95,alabama
76,Do you have a favorable or unfavorable opinion of Mike Pence?,Do not know enough to say,0.06,,,alabama
77,Do you have a favorable or unfavorable opinion of the Republican Party?,Very favorable,0.35,96,4,alabama
77,Do you have a favorable or unfavorable opinion of the Republican Party?,Somewhat favorable,0.28,90,10,alabama
77,Do you have a favorable or unfavorable opinion of the Republican Party?,Somewhat unfavorable,0.11,,,alabama
77,Do you have a favorable or unfavorable opinion of the Republican Party?,Very unfavorable,0.24,6,93,alabama
77,Do you have a favorable or unfavorable opinion of the Republican Party?,Do not know enough to say,0.02,,,alabama
78,Do you have a favorable or unfavorable opinion of Tommy Tuberville?,Very favorable,0.26,95,4,alabama
78,Do you have a favorable or unfavorable opinion of Tommy Tuberville?,Somewhat favorable,0.27,92,6,alabama
78,Do you have a favorable or unfavorable opinion of Tommy Tuberville?,Somewhat unfavorable,0.1,45,52,alabama
78,Do you have a favorable or unfavorable opinion of Tommy Tuberville?,Very unfavorable,0.25,8,91,alabama
78,Do you have a favorable or unfavorable opinion of Tommy Tuberville?,Do not know enough to say,0.09,51,46,alabama
79,Do you have a favorable or unfavorable opinion of Tommy Tuberville?,Favorable,0.53,94,5,alabama
79,Do you have a favorable or unfavorable opinion of Tommy Tuberville?,Unfavorable,0.35,18,80,alabama
79,Do you have a favorable or unfavorable opinion of Tommy Tuberville?,Do not know enough to say,0.09,51,46,alabama
80,Do you have a favorable or unfavorable opinion of Doug Jones?,Very favorable,0.26,9,90,alabama
80,Do you have a favorable or unfavorable opinion of Doug Jones?,Somewhat favorable,0.14,36,60,alabama
80,Do you have a favorable or unfavorable opinion of Doug Jones?,Somewhat unfavorable,0.12,89,8,alabama
80,Do you have a favorable or unfavorable opinion of Doug Jones?,Very unfavorable,0.39,97,2,alabama
80,Do you have a favorable or unfavorable opinion of Doug Jones?,Do not know enough to say,0.05,78,20,alabama
81,Do you have a favorable or unfavorable opinion of Doug Jones?,Favorable,0.4,18,80,alabama
81,Do you have a favorable or unfavorable opinion of Doug Jones?,Unfavorable,0.5,95,3,alabama
81,Do you have a favorable or unfavorable opinion of Doug Jones?,Do not know enough to say,0.05,78,20,alabama
81,Do you have a favorable or unfavorable opinion of Doug Jones?,Favorable view of Tommy Tuberville and Doug Jones,0.07,65,34,alabama
82,What are your views on Tommy Tuberville and Doug Jones?,"Favorable view of Tommy Tuberville, unfavorable view of Doug Jones",0.53,98,1,alabama
82,What are your views on Tommy Tuberville and Doug Jones?,"Favorable view of Doug Jones, unfavorable view of Tommy Tuberville",0.35,8,91,alabama
82,What are your views on Tommy Tuberville and Doug Jones?,Unfavorable view of Tommy Tuberville and Doug Jones,0.05,,,alabama
83,Do you have a favorable or unfavorable opinion of Jeff Sessions?,Very favorable,0.11,85,15,alabama
83,Do you have a favorable or unfavorable opinion of Jeff Sessions?,Somewhat favorable,0.27,84,14,alabama
83,Do you have a favorable or unfavorable opinion of Jeff Sessions?,Somewhat unfavorable,0.19,60,38,alabama
83,Do you have a favorable or unfavorable opinion of Jeff Sessions?,Very unfavorable,0.25,30,69,alabama
83,Do you have a favorable or unfavorable opinion of Jeff Sessions?,Do not know enough to say,0.13,62,36,alabama
84,Do you have a favorable or unfavorable opinion of Jeff Sessions?,Favorable,0.38,84,14,alabama
84,Do you have a favorable or unfavorable opinion of Jeff Sessions?,Unfavorable,0.43,43,55,alabama
84,Do you have a favorable or unfavorable opinion of Jeff Sessions?,Do not know enough to say,0.13,62,36,alabama
85,"Do you think Donald Trump has changed the way Washington works for the better, for the worse or not at all?",For the better,0.57,96,3,alabama
85,"Do you think Donald Trump has changed the way Washington works for the better, for the worse or not at all?",For the worse,0.32,3,96,alabama
85,"Do you think Donald Trump has changed the way Washington works for the better, for the worse or not at all?",Has not changed Washington,0.11,54,40,alabama
86,What is your age?,18-44,0.34,55,42,alabama
86,What is your age?,45+,0.66,65,34,alabama
87,What is your age?,18-24,0.06,45,50,alabama
87,What is your age?,25-29,0.06,59,39,alabama
87,What is your age?,30-39,0.14,60,37,alabama
87,What is your age?,40-49,0.15,55,44,alabama
87,What is your age?,50-64,0.3,64,35,alabama
87,What is your age?,65+,0.29,69,30,alabama
88,How old are you? And what is your gender?,18-29 men,0.06,,,alabama
88,How old are you? And what is your gender?,18-29 women,0.06,51,45,alabama
88,How old are you? And what is your gender?,30-44 men,0.1,66,32,alabama
88,How old are you? And what is your gender?,30-44 women,0.11,50,47,alabama
88,How old are you? And what is your gender?,45-64 men,0.18,65,33,alabama
88,How old are you? And what is your gender?,45-64 women,0.2,60,39,alabama
88,How old are you? And what is your gender?,65+ men,0.13,74,25,alabama
88,How old are you? And what is your gender?,65+ women,0.16,66,34,alabama
88,How old are you? And what is your gender?,All others,0.01,,,alabama
89,How old are you? And what is your gender?,18-44 men,0.16,62,36,alabama
89,How old are you? And what is your gender?,18-44 women,0.18,50,46,alabama
89,How old are you? And what is your gender?,45+ men,0.31,69,30,alabama
89,How old are you? And what is your gender?,45+ women,0.35,63,37,alabama
89,How old are you? And what is your gender?,All others,0.01,,,alabama
90,What is your racial or ethnic heritage?,White,0.75,78,20,alabama
90,What is your racial or ethnic heritage?,African-American or Black,0.22,8,91,alabama
90,What is your racial or ethnic heritage?,Latino or Hispanic,0.01,,,alabama
90,What is your racial or ethnic heritage?,Asian,0,,,alabama
90,What is your racial or ethnic heritage?,"American Indian, Native American or Alaska Native",0,,,alabama
90,What is your racial or ethnic heritage?,Native Hawaiian or Other Pacific Islander,0,,,alabama
90,What is your racial or ethnic heritage?,Other,0.01,,,alabama
91,What is your racial or ethnic heritage?,White,0.75,78,20,alabama
91,What is your racial or ethnic heritage?,African-American or Black,0.22,8,91,alabama
91,What is your racial or ethnic heritage?,Latino or Hispanic,0.01,,,alabama
91,What is your racial or ethnic heritage?,Other,0.02,68,27,alabama
92,What is your racial or ethnic heritage?,White,0.75,78,20,alabama
92,What is your racial or ethnic heritage?,Nonwhite,0.25,15,83,alabama
93,What is your racial or ethnic heritage? And what is your gender?,White men,0.37,78,20,alabama
93,What is your racial or ethnic heritage? And what is your gender?,White women,0.38,78,20,alabama
93,What is your racial or ethnic heritage? And what is your gender?,Black men,0.08,,,alabama
93,What is your racial or ethnic heritage? And what is your gender?,Black women,0.14,5,95,alabama
93,What is your racial or ethnic heritage? And what is your gender?,Latino men,0,,,alabama
93,What is your racial or ethnic heritage? And what is your gender?,Latino women,0.01,,,alabama
93,What is your racial or ethnic heritage? And what is your gender?,All others,0.02,68,27,alabama
94,What is your racial or ethnic heritage? And what is your gender?,White men,0.37,78,20,alabama
94,What is your racial or ethnic heritage? And what is your gender?,White women,0.38,78,20,alabama
94,What is your racial or ethnic heritage? And what is your gender?,Nonwhite men,0.1,23,75,alabama
94,What is your racial or ethnic heritage? And what is your gender?,Nonwhite women,0.15,10,89,alabama
94,What is your racial or ethnic heritage? And what is your gender?,All others,0.01,,,alabama
95,What is your racial or ethnic heritage? And how old are you?,White 18-29,0.09,67,30,alabama
95,What is your racial or ethnic heritage? And how old are you?,White 30-44,0.14,79,19,alabama
95,What is your racial or ethnic heritage? And how old are you?,White 45-64,0.28,79,20,alabama
95,What is your racial or ethnic heritage? And how old are you?,White 65+,0.23,81,18,alabama
95,What is your racial or ethnic heritage? And how old are you?,Nonwhite 18-29,0.03,12,86,alabama
95,What is your racial or ethnic heritage? And how old are you?,Nonwhite 30-44,0.07,13,84,alabama
95,What is your racial or ethnic heritage? And how old are you?,Nonwhite 45-64,0.1,15,84,alabama
95,What is your racial or ethnic heritage? And how old are you?,Nonwhite 65+,0.06,,,alabama
96,What is your racial or ethnic heritage? And how old are you?,White 18-44,0.23,74,23,alabama
96,What is your racial or ethnic heritage? And how old are you?,White 45+,0.51,80,19,alabama
96,What is your racial or ethnic heritage? And how old are you?,Black 18-44,0.09,7,90,alabama
96,What is your racial or ethnic heritage? And how old are you?,Black 45+,0.13,8,91,alabama
96,What is your racial or ethnic heritage? And how old are you?,Latino 18-44,0,,,alabama
96,What is your racial or ethnic heritage? And how old are you?,Latino 45+,0.01,,,alabama
96,What is your racial or ethnic heritage? And how old are you?,All other races,0.02,68,27,alabama
97,What is your racial or ethnic heritage? And how old are you?,White 18-44,0.23,74,23,alabama
97,What is your racial or ethnic heritage? And how old are you?,White 45+,0.51,80,19,alabama
97,What is your racial or ethnic heritage? And how old are you?,Nonwhite 18-44,0.1,12,85,alabama
97,What is your racial or ethnic heritage? And how old are you?,Nonwhite 45+,0.15,17,82,alabama
98,"What is your race, age and gender?",White 18-44 men,0.12,75,23,alabama
98,"What is your race, age and gender?",White 18-44 women,0.11,73,22,alabama
